,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,airai,-8.93,125.41,54.97,98,91,3.67,TL,2020-07-15 19:47:59
1,kajaani,64.23,27.73,59,82,47,3.36,FI,2020-07-15 19:47:59
2,hermanus,-34.42,19.23,41,90,20,4.05,ZA,2020-07-15 19:47:59
3,port alfred,-33.59,26.89,54.46,41,0,5.17,ZA,2020-07-15 19:48:00
4,kaa-khem,51.68,94.73,51.78,66,13,4.83,RU,2020-07-15 19:48:00
5,manjeshwar,12.72,74.89,77,88,90,4.7,IN,2020-07-15 19:48:00
6,naze,28.37,129.48,82.4,94,75,14.99,JP,2020-07-15 19:48:00
7,ahipara,-35.17,173.17,56.77,93,95,5.88,NZ,2020-07-15 19:48:00
8,zhigansk,66.77,123.37,63.55,60,33,6.58,RU,2020-07-15 19:48:00
9,coquimbo,-29.95,-71.34,55.4,71,40,2.24,CL,2020-07-15 19:38:23
11,port lincoln,-34.73,135.87,52.45,77,0,6.87,AU,2020-07-15 19:48:00
12,bambous virieux,-20.34,57.76,71.6,73,40,9.17,MU,2020-07-15 19:43:42
13,rikitea,-23.12,-134.97,74.32,84,100,10.78,PF,2020-07-15 19:43:33
14,cape town,-33.93,18.42,46.4,75,0,4.7,ZA,2020-07-15 19:44:25
15,vanavara,60.34,102.28,47.79,84,15,7.67,RU,2020-07-15 19:48:01
17,fertoszentmiklos,47.59,16.88,60.01,91,31,5.53,HU,2020-07-15 19:48:01
18,puerto ayora,-0.74,-90.35,72,80,89,4,EC,2020-07-15 19:47:11
20,soyo,-6.13,12.37,72.52,83,41,11.25,AO,2020-07-15 19:48:01
21,nanortalik,60.14,-45.24,43.11,86,36,10.83,GL,2020-07-15 19:38:28
22,barrow,71.29,-156.79,42.8,75,1,11.41,US,2020-07-15 19:41:53
23,punta arenas,-53.15,-70.92,33.8,88,75,9.17,CL,2020-07-15 19:44:25
24,hambantota,6.12,81.12,77,100,40,6.93,LK,2020-07-15 19:48:01
25,faanui,-16.48,-151.75,77.7,85,81,15.08,PF,2020-07-15 19:43:53
26,kimbe,-5.55,150.14,74.64,87,35,4.05,PG,2020-07-15 19:48:02
28,geraldton,-28.77,114.6,53.6,87,40,12.75,AU,2020-07-15 19:45:30
29,nikolskoye,59.7,30.79,62.6,51,100,6.71,RU,2020-07-15 19:43:40
30,albany,42.6,-73.97,87.01,62,34,0.74,US,2020-07-15 19:45:12
31,ushuaia,-54.8,-68.3,33.8,93,20,1.41,AR,2020-07-15 19:43:17
32,camopi,3.17,-52.32,82.4,80,34,3.49,GF,2020-07-15 19:48:02
33,salalah,17.02,54.09,80.6,94,75,5.82,OM,2020-07-15 19:45:08
34,ormara,25.21,64.64,84.31,84,20,13.96,PK,2020-07-15 19:48:02
35,jamestown,42.1,-79.24,81,47,20,9.17,US,2020-07-15 19:43:36
36,bluff,-46.6,168.33,39,83,38,3,NZ,2020-07-15 19:43:37
37,khurai,24.04,78.33,83.16,73,87,4.65,IN,2020-07-15 19:48:03
38,santa barbara,34.42,-119.7,62.6,77,90,5.82,US,2020-07-15 19:43:46
39,atuona,-9.8,-139.03,79.45,75,2,17.07,PF,2020-07-15 19:43:13
40,ashland,40.82,-82.27,88,43,1,10.29,US,2020-07-15 19:48:03
41,hilo,19.73,-155.09,78.8,74,90,3.36,US,2020-07-15 19:43:10
42,flinders,-34.58,150.86,53.01,64,74,4,AU,2020-07-15 19:48:03
43,bartica,6.4,-58.62,78.8,88,75,4.7,GY,2020-07-15 19:48:03
44,daoukro,7.06,-3.96,71.06,87,49,1.74,CI,2020-07-15 19:48:03
45,ilulissat,69.22,-51.1,46.4,81,75,3.36,GL,2020-07-15 19:48:04
47,chokurdakh,70.63,147.92,36.01,89,100,13.44,RU,2020-07-15 19:48:04
48,hobart,-42.88,147.33,42.8,93,90,5.82,AU,2020-07-15 19:41:52
49,busselton,-33.65,115.33,57,87,7,17.11,AU,2020-07-15 19:43:41
50,pisco,-13.7,-76.22,63,77,75,9.17,PE,2020-07-15 19:43:16
